run_name,dx,d0,n_train,seed,oracle_mse,normal_mse,wall_time_seconds
dx128_d016_n10000_seed0,128,16,10000,0,34.30769428710938,27.967918490600585,55.942376375198364
dx128_d016_n10000_seed1,128,16,10000,1,35.513972760009764,29.14518438720703,26.368915557861328
dx128_d016_n10000_seed2,128,16,10000,2,35.861365551757814,29.594346228027344,40.80738306045532
dx128_d016_n2000_seed0,128,16,2000,0,85.66566645507812,76.67726711425782,14.352117538452148
dx128_d016_n2000_seed1,128,16,2000,1,85.81678132324218,76.83329481201172,16.038273572921753
dx128_d016_n2000_seed2,128,16,2000,2,87.30302646484375,78.20035769042968,7.396608591079712
dx128_d016_n50000_seed0,128,16,50000,0,13.34736018371582,10.092613805770874,148.68366718292236
dx128_d016_n50000_seed1,128,16,50000,1,13.27753941040039,10.075803284072876,120.16086196899414
dx128_d016_n50000_seed2,128,16,50000,2,12.734750479125976,9.938594550323486,254.0276062488556
dx128_d02_n10000_seed0,128,2,10000,0,20.176541326904296,19.46583310546875,38.00503206253052
dx128_d02_n10000_seed1,128,2,10000,1,19.96639193725586,19.371816999816893,41.035988330841064
dx128_d02_n10000_seed2,128,2,10000,2,20.243495864868166,19.441010095214843,52.690335512161255
dx128_d02_n2000_seed0,128,2,2000,0,57.76751121826172,56.889076330566404,10.995537281036377
dx128_d02_n2000_seed1,128,2,2000,1,57.774564514160154,56.98170435180664,8.46262240409851
dx128_d02_n2000_seed2,128,2,2000,2,56.82123578491211,55.817385913085936,15.439239978790283
dx128_d02_n50000_seed0,128,2,50000,0,10.051651028442382,9.744959803009033,224.21399116516113
dx128_d02_n50000_seed1,128,2,50000,1,10.124314039611816,9.747320557022094,223.24043774604797
dx128_d02_n50000_seed2,128,2,50000,2,10.49230908203125,10.168690870666504,168.6427628993988
dx128_d04_n10000_seed0,128,4,10000,0,22.68851489868164,20.728939653015136,20.52092146873474
dx128_d04_n10000_seed1,128,4,10000,1,22.033696923828124,20.27128833618164,55.522913455963135
dx128_d04_n10000_seed2,128,4,10000,2,22.264577432250977,20.29387705078125,55.66016983985901
dx128_d04_n2000_seed0,128,4,2000,0,65.9933476928711,63.371838671875,13.388439893722534
dx128_d04_n2000_seed1,128,4,2000,1,66.25467086181641,63.90019061279297,10.071514368057251
dx128_d04_n2000_seed2,128,4,2000,2,66.71741354980469,64.02240266723634,7.310848236083984
dx128_d04_n50000_seed0,128,4,50000,0,10.974781098937989,10.144815990447999,172.19265580177307
dx128_d04_n50000_seed1,128,4,50000,1,10.965005555725098,10.255318563079834,215.20781016349792
dx128_d04_n50000_seed2,128,4,50000,2,10.712610089111328,10.187270959472656,120.27700090408325
dx128_d08_n10000_seed0,128,8,10000,0,25.67147553100586,21.73419674987793,30.74252939224243
dx128_d08_n10000_seed1,128,8,10000,1,25.365770477294923,21.170678590393067,40.65171837806702
dx128_d08_n10000_seed2,128,8,10000,2,24.77533163757324,21.05103257141113,47.88963198661804
dx128_d08_n2000_seed0,128,8,2000,0,73.9953307006836,68.62330479736328,15.373322248458862
dx128_d08_n2000_seed1,128,8,2000,1,72.85963764648437,67.76960170898438,11.35313606262207
dx128_d08_n2000_seed2,128,8,2000,2,74.78203422851563,69.42357165527343,16.320403337478638
dx128_d08_n50000_seed0,128,8,50000,0,11.842083770751954,10.195061971664428,139.44412183761597
dx128_d08_n50000_seed1,128,8,50000,1,11.690836520385743,10.020558966827393,221.4066777229309
dx128_d08_n50000_seed2,128,8,50000,2,11.41665337524414,10.222426601028442,177.13816475868225
dx32_d04_n10000_seed0,32,4,10000,0,1.4332809242248534,1.185756454706192,41.00037932395935
dx32_d04_n10000_seed1,32,4,10000,1,1.85050707321167,1.5718965727806091,23.003697395324707
dx32_d04_n10000_seed2,32,4,10000,2,1.470217790222168,1.2569162374973297,18.34102153778076
dx32_d04_n2000_seed0,32,4,2000,0,5.669104256439209,3.534651934814453,15.001591444015503
dx32_d04_n2000_seed1,32,4,2000,1,5.957616619110107,3.871897079086304,11.839451313018799
dx32_d04_n2000_seed2,32,4,2000,2,5.979822116088867,3.7636648166656492,9.200341939926147
dx32_d04_n50000_seed0,32,4,50000,0,0.41122742443084714,0.28370150620937346,122.19880437850952
dx32_d04_n50000_seed1,32,4,50000,1,0.4325821025371552,0.31391604009866714,105.47465062141418
dx32_d04_n50000_seed2,32,4,50000,2,0.4039672176361084,0.26001924513578417,215.83085417747498
dx512_d04_n10000_seed0,512,4,10000,0,260.22439916992187,255.07892822265626,116.07636165618896
dx512_d04_n10000_seed1,512,4,10000,1,262.7506241699219,258.2640266601563,90.25323677062988
dx512_d04_n10000_seed2,512,4,10000,2,258.5796736328125,253.63919951171874,118.3497245311737
dx512_d04_n2000_seed0,512,4,2000,0,369.58529594726565,365.79759682617185,33.13269090652466
dx512_d04_n2000_seed1,512,4,2000,1,369.66928876953125,365.5509119628906,31.59211277961731
dx512_d04_n2000_seed2,512,4,2000,2,370.9025231933594,366.8082671875,19.78814387321472
dx512_d04_n50000_seed0,512,4,50000,0,196.71709963378908,192.43431860351564,531.7310190200806
dx512_d04_n50000_seed1,512,4,50000,1,195.44885654296874,191.78876318359374,426.3746211528778
dx512_d04_n50000_seed2,512,4,50000,2,194.84002141113282,191.24664936523436,426.7812762260437
